Date,Close
2017-11-11,14.007686
2017-11-12,11.77523
2017-11-13,13.954403
2017-11-14,14.561077
2017-11-15,15.493521
2017-11-16,14.446521
2017-11-17,13.858571
2017-11-18,13.829225
2017-11-19,14.957448
2017-11-20,14.527655
2017-11-21,14.977853
2017-11-22,16.089493
2017-11-23,16.417084
2017-11-24,16.830656
2017-11-25,19.098957
2017-11-26,20.176228
2017-11-27,20.035929
2017-11-28,19.568419
2017-11-29,23.900997
2017-11-30,37.051994
2017-12-01,39.51104
2017-12-02,35.568874
2017-12-03,33.626545
2017-12-04,35.579395
2017-12-05,32.730633
2017-12-06,26.900595
2017-12-07,27.073322
2017-12-08,26.845779
2017-12-09,30.301807
2017-12-10,28.972036
2017-12-11,29.680923
2017-12-12,30.585693
2017-12-13,29.556643
2017-12-14,29.067841
2017-12-15,29.901535
2017-12-16,30.806612
2017-12-17,33.555565
2017-12-18,37.154633
2017-12-19,35.441139
2017-12-20,34.904819
2017-12-21,37.897022
2017-12-22,29.333624
2017-12-23,33.091831
2017-12-24,35.026001
2017-12-25,43.81641
2017-12-26,40.624535
2017-12-27,43.67564
2017-12-28,42.971546
2017-12-29,41.709606
2017-12-30,36.178619
2017-12-31,41.469765
2018-01-01,50.058796
2018-01-02,47.056461
2018-01-03,47.644711
2018-01-04,46.810646
2018-01-05,39.132938
2018-01-06,40.127945
2018-01-07,51.882671
2018-01-08,60.402081
2018-01-09,56.35067
2018-01-10,61.403404
2018-01-11,52.339081
2018-01-12,54.814079
2018-01-13,64.95237
2018-01-14,57.501785
2018-01-15,48.545879
2018-01-16,35.991169
2018-01-17,35.56073
2018-01-18,40.836903
2018-01-19,41.864128
2018-01-20,43.0261
2018-01-21,34.385689
2018-01-22,34.118481
2018-01-23,33.667763
2018-01-24,34.901894
2018-01-25,34.495075
2018-01-26,32.720375
2018-01-27,35.299797
2018-01-28,36.5126
2018-01-29,33.148857
2018-01-30,27.930387
2018-01-31,26.563696
2018-02-01,23.297371
2018-02-02,22.067024
2018-02-03,24.77803
2018-02-04,19.649363
2018-02-05,16.726257
2018-02-06,18.934752
2018-02-07,19.894188
2018-02-08,19.540226
2018-02-09,20.315687
2018-02-10,24.385765
2018-02-11,23.053537
2018-02-12,27.638905
2018-02-13,25.390486
2018-02-14,27.577269
2018-02-15,27.650097
2018-02-16,26.659105
2018-02-17,29.172846
2018-02-18,25.655548
2018-02-19,30.684374
2018-02-20,30.15041
2018-02-21,29.185732
2018-02-22,25.063362
2018-02-23,25.395683
2018-02-24,25.183187
2018-02-25,24.595428
2018-02-26,26.377949
2018-02-27,27.000067
2018-02-28,24.984116
2018-03-01,29.976551
2018-03-02,30.338379
